gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_name	sig
ENSG00000123500	3925.5162004950357	7.990757933023978	0.8729038817806726	3.9640530002185724e-22	6.37538644025153e-18	COL10A1	Up
ENSG00000179796	59.106131065946144	-5.305249277682705	0.6121097392148112	7.94740183271283e-19	6.390903183776022e-15	LRRC3B	Down
ENSG00000118193	938.0989141675601	5.281766449225784	0.642962973751548	3.129234228730915e-18	1.6775824700226434e-14	KIF14	Up
ENSG00000143228	1914.7779310347094	5.208087170994362	0.6411498893628538	8.62775361428626e-18	3.4690040344641485e-14	NUF2	Up
ENSG00000117650	1921.5915779374905	5.317662959278403	0.6684776054810918	2.3454266898107782e-17	6.579633081788688e-14	NEK2	Up
ENSG00000122966	1814.755074672811	3.3183153814264816	0.41248634131126816	2.4546290176417416e-17	6.579633081788688e-14	CIT	Up
ENSG00000161800	3721.485554941794	2.8476099449308427	0.3595025342644295	1.0205747888474655e-16	2.344843475576255e-13	RACGAP1	Up
ENSG00000087586	1852.573066863511	4.057880331488734	0.535687590198372	8.37261928604948e-16	1.6832104497191723e-12	AURKA	Up
ENSG00000066279	2601.9396869448337	5.05555954778973	0.6819556441809174	1.7711057516934472e-15	2.6383845161995294e-12	ASPM	Up
ENSG00000101447	1488.0302666612004	4.561139867417246	0.6140160743874413	1.7437027223249202e-15	2.6383845161995294e-12	FAM83D	Up
ENSG00000184113	806.2522112129071	-3.387607636040951	0.43978951580948955	1.804528363998932e-15	2.6383845161995294e-12	CLDN5	Down
ENSG00000138778	1722.6550588346745	4.165852217344923	0.5683737029792498	4.3748953687015785e-15	5.863453517902291e-12	CENPE	Up
ENSG00000131747	15822.765026093653	5.332635295812891	0.7314017939022279	4.7595433926547475e-15	5.888287414158947e-12	TOP2A	Up
ENSG00000151136	329.67770910167815	-2.248900972297797	0.29974099984104263	7.920286964760794e-15	9.098712518160561e-12	ABTB3	Down
ENSG00000129173	491.76226631684057	5.012015321712303	0.6987129012932536	1.0980349473714785e-14	1.1773130705716994e-11	E2F8	Up
ENSG00000134057	3875.732439538177	3.085866505233491	0.426901231257718	1.5708095341124328e-14	1.578958108570641e-11	CCNB1	Up
ENSG00000011426	3775.0582070645846	4.714714114703825	0.6697903828080168	3.1822839547042736e-14	2.8433707135282685e-11	ANLN	Up
ENSG00000135451	976.7825064774801	4.3069510447824015	0.6107882593389932	3.096598414918728e-14	2.8433707135282685e-11	TROAP	Up
ENSG00000165197	867.2215066870054	-5.453307710394305	0.7499474854550052	7.481875049512741e-14	6.333210337963865e-11	VEGFD	Down
ENSG00000117724	9018.211866751808	4.148933629116261	0.601357860159538	1.6537055310499216e-13	1.3298273027937945e-10	CENPF	Up
ENSG00000072571	830.343598309712	4.124250135829478	0.60890253628587665	2.404212309478143e-13	1.727607230033278e-10	HMMR	Up
ENSG00000109674	205.18366005956076	4.139463803777109	0.6110012691425066	2.470619056815606e-13	1.727607230033278e-10	NEIL3	Up
ENSG00000158402	376.40487882933166	4.058306190902255	0.5986963097729849	2.3057436069136256e-13	1.727607230033278e-10	CDC25C	Up
ENSG00000170312	3617.278473719492	4.24673814913656	0.6305227837183376	3.122196498518932e-13	2.0535434781420487e-10	CDK1	Up
ENSG00000183856	4153.892356608313	5.27980512018484	0.791829979215603	3.1921026520892377e-13	2.0535434781420487e-10	IQGAP3	Up
ENSG00000162063	1817.8381342172036	2.1930493100727566	0.3201284815708177	3.7180070951596255e-13	2.29987338890201e-10	CCNF	Up
ENSG00000156970	1401.5373913727924	4.1406074649208104	0.6206211071491083	4.603296115780358e-13	2.7420300529664996e-10	BUB1B	Up
ENSG00000187260	391.242886701221	-3.5625242365802365	0.512646100489538	4.822645763468571e-13	2.7700932790666077e-10	WDR86	Down
ENSG00000166851	2038.5924431185188	4.224724837229887	0.6361918167669589	5.603172053448025e-13	3.107441935710503e-10	PLK1	Up
ENSG00000114346	4680.966820666178	3.0282350722781066	0.4491233942267394	6.252400942404079e-13	3.3519121452228266e-10	ECT2	Up
ENSG00000077152	1561.2556170796345	3.665854922085994	0.550984485591798	6.565329589882908e-13	3.406135348196348e-10	UBE2T	Up
ENSG00000137807	2495.3580437285295	3.911007635221954	0.5914041868808415	7.523831281500986e-13	3.781430578136886e-10	KIF23	Up
ENSG00000169679	2349.801646539738	4.5375398442315005	0.692058664148565	8.448509553672354e-13	4.1174963379306814e-10	BUB1	Up
ENSG00000088325	6452.934307043195	4.535644932265321	0.6906587328088893	9.243044143482567e-13	4.372231734106768e-10	TPX2	Up
ENSG00000090889	2357.6354222943037	4.686452034752097	0.7181659232998485	9.759036935985682e-13	4.3834548489065933e-10	KIF4A	Up
ENSG00000149451	843.7224014142424	-4.246009914929783	0.6178231961487286	9.811874312046096e-13	4.3834548489065933e-10	ADAM33	Down
ENSG00000196611	413.52915815517497	9.836909953772384	1.0781973904683784	1.0526053875371856e-12	4.575419580475826e-10	MMP1	Up
ENSG00000197461	1657.2146143824527	-2.2921795309734523	0.3379393323171771	1.4740845321782456e-12	6.238868823953349e-10	PDGFA	Down
ENSG00000169607	938.455617675093	4.504741005289761	0.6976906383741649	1.7094437393240697e-12	7.049482989627951e-10	CKAP2L	Up
ENSG00000089685	2896.2352575480495	4.417245166283756	0.685157424429951	1.814573797406944e-12	7.29594759592397e-10	BIRC5	Up
